agent,pct,year,note
Disease,6.04,2024,Beech leaf disease and other pathogens
Insect,5.91,2024,"EAB, HWA, spruce budworm; peaked 8.7% in 2022"
Animal,1.51,2024,Browse and wildlife damage
Weather,0.41,2024,Wind, ice, and storm damage
Human,0.14,2023,Direct human-caused disturbance
