geoid,county,COUNTYCD,forest_acres,carbon_ag_mmt,carbon_per_acre_mt,mean_stand_age,old_forest_pct,species_richness,public_forest_pct
23001,Androscoggin,1,204828,6.18,30.2,66.3,3.8,30,0.7
23003,Aroostook,3,3811119,72.956,19.1,59.3,12.6,34,6.1
23005,Cumberland,5,352599,11.343,32.2,71.4,1.9,34,6.1
23007,Franklin,7,980739,19.993,20.4,65.5,8.3,32,10.3
23009,Hancock,9,903196,20.019,22.2,73.5,14.8,31,10.9
23011,Kennebec,11,362682,9.874,27.2,71.4,6.6,30,3.6
23013,Knox,13,174680,4.629,26.5,76.1,16.5,27,11.3
23015,Lincoln,15,208645,6.658,31.9,72.1,7.1,25,5.4
23017,Oxford,17,1242753,30.843,24.8,69.2,9.2,34,10.5
23019,Penobscot,19,1941741,40.583,20.9,69.1,15.1,40,9.7
23021,Piscataquis,21,2442129,51.504,21.1,66.2,15.8,32,14.9
23023,Sagadahoc,23,94001,3.104,33,78.8,12,21,0
23025,Somerset,25,2361818,43.37,18.4,59.2,9.3,37,5
23027,Waldo,27,391867,10.665,27.2,70.1,10.2,31,4.6
23029,Washington,29,1482482,28.447,19.2,69.4,15.4,35,7.4
23031,York,31,463472,13.85,29.9,69.4,6.1,36,7.2
