activity,impact_M,participation
Fall Foliage,1900,~2.8M visitors
Snowmobiling,582,"67,600 registrations"
Hunting,338,"200,000 hunters"
Skiing,200,1.3M skier visits
Maple Syrup,45,100+ sugarhouses
Hiking & Biking,150,~7.5M visitor days
