gap_class,acres,share_label
"GAP 1: Biodiversity",380248,1.9%
"GAP 2: Natural State",597926,3.0%
"GAP 3: Multiple Use",3421236,17.3%
"GAP 3.9: Agriculture",55509,0.3%
"GAP 4: Unsecured",54046,0.3%
