eval_period,eval_year,acres_trans,acres_ls,acres_og,acres_total
1999 to 2003,2001,1135131,117536,0,1252667
2004 to 2008,2006,1218772,158950,5568,1383290
2009 to 2013,2011,1267319,144139,16651,1428109
2014 to 2018,2016,1328043,170782,21797,1520623
2019 to 2023,2021,1499514,179523,10707,1689745
