ACQ_YEAR,Acres_Added,Num_Parcels,Cumulative_Acres,Cumulative_Parcels,Pct_Conserved
1955,41504.92453080227,14,182676.3817336513,219,0.93
1956,164.20681255663652,3,182840.58854620793,222,0.93
1957,2968.8216330656614,45,185809.4101792736,267,0.94
1958,2381.201406444911,20,188190.61158571852,287,0.95
1959,4351.801178157135,16,192542.41276387565,303,0.98
1960,1526.4155421372495,28,194068.8283060129,331,0.98
1961,136.04050742325097,21,194204.86881343616,352,0.98
1962,1351.343168455066,38,195556.21198189122,390,0.99
1963,3709.6076756463417,10,199265.81965753756,400,1.01
1964,1329.1185025494,25,200594.93816008695,425,1.02
1965,2355.7235914412363,18,202950.66175152818,443,1.03
1966,3043.1676507403718,52,205993.82940226854,495,1.04
1967,576.8235434739827,13,206570.65294574253,508,1.05
1968,9681.969803816355,40,216252.62274955888,548,1.1
1969,13118.411679898338,61,229371.0344294572,609,1.16
1970,3346.5118731654297,42,232717.54630262265,651,1.18
1971,3864.2906481694176,40,236581.83695079206,691,1.2
1972,3032.7390952442147,61,239614.57604603627,752,1.21
1973,2761.8777431200433,83,242376.4537891563,835,1.23
1974,6201.813063637783,53,248578.2668527941,888,1.26
1975,68220.24460192447,50,316798.51145471854,938,1.6
1976,19709.53920122207,53,336508.0506559406,991,1.7
1977,54577.160360334,47,391085.2110162746,1038,1.98
1978,49098.59639535553,75,440183.8074116301,1113,2.23
1979,3695.93511597439,48,443879.7425276045,1161,2.25
1980,5921.541117223253,47,449801.2836448278,1208,2.28
1981,7099.741950337781,63,456901.02559516556,1271,2.31
1982,11448.709116969532,27,468349.7347121351,1298,2.37
1983,7696.534730913841,276,476046.2694430489,1574,2.41
1984,69210.57775870974,108,545256.8472017586,1682,2.76
1985,41267.29454604228,62,586524.1417478009,1744,2.97
1986,7827.834646723268,59,594351.9763945241,1803,3.01
1987,20962.14042798044,73,615314.1168225046,1876,3.12
1988,30476.782692682864,119,645790.8995151874,1995,3.27
1989,15419.759213720694,91,661210.658728908,2086,3.35
1990,72151.7439167407,135,733362.4026456487,2221,3.71
1991,8851.851521700384,94,742214.2541673491,2315,3.76
1992,7904.4689399792605,105,750118.7231073283,2420,3.8
1993,12945.492451776161,126,763064.2155591045,2546,3.86
1994,12391.886274529223,146,775456.1018336337,2692,3.93
1995,11549.868586516535,121,787005.9704201503,2813,3.99
1996,29233.878771979864,175,816239.8491921301,2988,4.13
1997,27326.5611487062,146,843566.4103408364,3134,4.27
1998,172537.07719743723,183,1016103.4875382737,3317,5.15
1999,20604.216040247866,194,1036707.7035785215,3511,5.25
2000,37904.106724781734,193,1074611.8103033032,3704,5.44
2001,803762.9085364806,239,1878374.7188397837,3943,9.51
2002,80488.98774462882,213,1958863.7065844126,4156,9.92
2003,421741.872530299,297,2380605.579114712,4453,12.06
2004,59487.06553500723,230,2440092.644649719,4683,12.36
2005,352332.0468706314,322,2792424.69152035,5005,14.14
2006,224519.60594537648,185,3016944.2974657267,5190,15.28
2007,52515.459686830676,350,3069459.7571525574,5540,15.55
2008,36364.417122518564,190,3105824.174275076,5730,15.73
2009,80151.30012594104,208,3185975.474401017,5938,16.14
2010,17314.674615080065,185,3203290.149016097,6123,16.22
2011,29451.195002597295,199,3232741.3440186945,6322,16.37
2012,400060.79082887666,197,3632802.134847571,6519,18.4
2013,23726.101838999464,126,3656528.2366865706,6645,18.52
2014,30401.143035630157,194,3686929.379722201,6839,18.67
2015,23141.68726558158,121,3710071.0669877823,6960,18.79
2016,153300.18616746712,201,3863371.253155249,7161,19.57
2017,17585.920195351857,138,3880957.173350601,7299,19.66
2018,17094.26463604364,133,3898051.4379866445,7432,19.74
2019,20010.873237006082,161,3918062.3112236504,7593,19.84
2020,40749.80056820256,164,3958812.111791853,7757,20.05
2021,58235.87406489733,153,4017047.98585675,7910,20.34
2022,66159.10339088521,126,4083207.089247635,8036,20.68
2023,33132.968122707985,158,4116340.0573703432,8194,20.85
2024,53415.243263371936,131,4169755.300633715,8325,21.12
2025,12120.991571101802,82,4181876.292204817,8407,21.18
