ACQ_YEAR,Acres_Added,Num_Parcels,Cumulative_Acres,Cumulative_Parcels,Pct_Conserved
1900,171.9111703692016,4,171.9111703692016,4,0.0
1901,443.18033433704454,1,615.0915047062462,5,0.0
1905,996.8001692001822,3,1611.8916739064284,8,0.01
1910,386.95359907482526,2,1998.8452729812536,10,0.01
1912,71.50996344258733,1,2070.355236423841,11,0.01
1914,7.476511124809557,1,2077.83174754865,12,0.01
1916,251.16311098244182,1,2328.994858531092,13,0.01
1918,22864.463956259027,1,25193.45881479012,14,0.13
1920,1652.2326500653037,1,26845.691464855423,15,0.14
1921,2.01021449,1,26847.701679345424,16,0.14
1922,135.37291062089875,1,26983.074589966323,17,0.14
1923,541.4902772504213,7,27524.564867216744,24,0.14
1924,97.54336802501777,6,27622.10823524176,30,0.14
1925,0.21292378351872326,1,27622.32115902528,31,0.14
1927,426.17379858397896,8,28048.49495760926,39,0.14
1928,1510.25964854,1,29558.754606149258,40,0.15
1929,2091.304763815801,5,31650.05936996506,45,0.16
1930,214.69213239541872,1,31864.75150236048,46,0.16
1931,4479.258650587969,1,36344.010152948445,47,0.18
1934,13.26087305464637,1,36357.271026003094,48,0.18
1936,5.850076722831904,1,36363.12110272593,49,0.18
1937,7666.679673929805,2,44029.800776655735,51,0.22
1938,5503.761512250311,30,49533.56228890605,81,0.25
1939,65.49324292984383,1,49599.05553183589,82,0.25
1940,4126.66250860186,2,53725.71804043775,84,0.27
1941,256.3764640182169,3,53982.09450445597,87,0.27
1942,983.9569392449374,12,54966.051443700904,99,0.28
1943,3151.0471160732154,3,58117.09855977412,102,0.29
1944,25203.123039378614,3,83320.22159915273,105,0.42
1945,26754.779385735565,14,110075.00098488829,119,0.56
1946,288.5201287924773,4,110363.52111368076,123,0.56
1947,12201.416691124687,1,122564.93780480545,124,0.62
1948,4970.691916666245,3,127535.62972147169,127,0.65
1949,8256.869950776754,34,135792.49967224844,161,0.69
1950,1650.529203306988,12,137443.02887555544,173,0.7
1951,3105.741602776259,28,140548.7704783317,201,0.71
1952,88.03949097940142,2,140636.80996931109,203,0.71
1953,528.1255508869949,1,141164.93552019808,204,0.71
1954,6.521682650969187,1,141171.45720284904,205,0.71
