Year,Sawlog_Production_B_BF,Total_Harvest_M_GreenTonEq,Biomass_Harvest_M_Tons,Industry_Consumed_M_GreenTonEq,Imported_M_GreenTonEq,Pulpwood_Processed_M_GreenTons
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,1.3,,,,,
2004,1.3,,,,,
2005,1.0,,,,,
2006,1.0,,,,,
2007,0.9,16.6,3.5,17.0,3.7,
2008,0.7,14.3,3.1,15.8,3.7,
2009,0.6,14.3,3.4,14.8,3.0,
2010,0.7,14.6,3.5,15.4,3.1,
2011,0.6,13.5,2.4,14.5,3.0,9.0
2012,0.7,14.7,2.44,15.8,3.3,9.6
2013,0.73,14.4,2.7,15.0,2.8,8.7
2014,0.8,14.6,2.9,15.7,3.2,
2015,0.8,14.6,3.0,15.2,3.2,
2016,0.86,12.8,2.2,13.1,2.6,
2017,0.86,12.3,2.4,12.8,2.8,
2018,0.93,12.5,2.2,13.3,2.9,
2019,0.87,13.1,1.6,14.2,3.5,
2020,0.88,11.0,,11.9,2.8,
2021,0.86,10.7,1.7,11.1,2.4,
2022,0.86,10.6,1.3,11.5,2.5,
2023,0.88,10.0,1.2,11.0,2.7,
