Year,Product,Unit,Species,Average,Min,Max,Num_Reports,Prior_Year_Avg
2000,BOLTWOOD,cord,WHITE BIRCH,61.0,30.0,75.0,9.0,
2000,FIREWOOD,cord,ALL SPECIES,11.0,6.0,20.0,28.0,
2000,PALLETWOOD,MBF,ALL SPECIES,46.0,20.0,110.0,76.0,
2000,PULPWOOD,cord,ASPEN/POPLAR,9.0,4.05,15.0,25.0,
2000,PULPWOOD,cord,HEMLOCK,11.0,3.6,18.0,26.0,
2000,PULPWOOD,cord,OTHER SOFTWOODS,5.0,1.15,12.42,9.0,
2000,PULPWOOD,cord,MIXED HARDWOOD,9.0,1.25,21.25,46.0,
2000,PULPWOOD,cord,SPRUCE & FIR,13.0,9.0,17.01,7.0,
2000,PULPWOOD,cord,WHITE PINE,3.0,1.5,16.13,52.0,
2000,SAWLOG,MBF,ASH,92.0,35.0,170.0,17.0,
2000,SAWLOG,MBF,ASPEN/POPLAR,43.0,20.0,50.0,9.0,
2000,SAWLOG,MBF,BEECH,42.0,40.0,55.0,5.0,
2000,SAWLOG,MBF,HEMLOCK,55.0,35.0,90.0,29.0,
2000,SAWLOG,MBF,MIXED HARDWOOD,94.0,20.0,251.27,8.0,
2000,SAWLOG,MBF,MIXED HARDWOOD,31.0,25.0,50.0,4.0,
2000,SAWLOG,MBF,RED OAK,251.0,35.0,430.0,36.0,
2000,SAWLOG,MBF,RED PINE,41.0,25.0,145.0,9.0,
2000,SAWLOG,MBF,RED/WHITE MAPLE,69.0,30.0,185.0,23.0,
2000,SAWLOG,MBF,SPRUCE & FIR,130.0,53.0,190.0,23.0,
2000,SAWLOG,MBF,SUGAR MAPLE,198.0,55.0,344.33,14.0,
2000,SAWLOG,MBF,WHITE BIRCH,125.0,50.0,230.0,25.0,
2000,SAWLOG,MBF,WHITE OAK,154.0,75.0,325.0,4.0,
2000,SAWLOG,MBF,WHITE PINE,156.0,25.0,250.0,66.0,
2000,SAWLOG,MBF,YELLOW BIRCH,92.0,45.0,190.0,8.0,
