geoid,county,conserved_acres,conserved_pct
23001,Androscoggin,14955,5.0
23003,Aroostook,665356,15.6
23005,Cumberland,63562,11.9
23007,Franklin,196316,18.1
23009,Hancock,232249,22.9
23011,Kennebec,36036,6.5
23013,Knox,26455,11.3
23015,Lincoln,29688,10.2
23017,Oxford,333873,25.1
23019,Penobscot,256309,11.8
23021,Piscataquis,1160165,45.7
23023,Sagadahoc,24305,15.0
23025,Somerset,854552,34.0
23027,Waldo,42106,9.0
23029,Washington,523244,31.9
23031,York,81107,12.8
