tier,category,pct_of_total,notes
Private,Family Forest,55.2,Family forest owners (largest single category)
Private,Corporate / TIMO-REIT,30.6,Corporate landowners and timber investment trusts
Public,State,8.4,Maine state forests and wildlife management areas
Public,Federal,2.9,National Forest System and other federal lands
Public,Local,2.5,Municipal and county-owned forestland
Tribal,Wabanaki,0.5,Tribal trust and reservation lands
