state,state_pct_of_total,subsector,subsector_pct_of_state
ME,66.6,Pulp & Paper,48.3
ME,66.6,Solid Wood Products,34.9
ME,66.6,Harvesting & Transport,8.1
ME,66.6,Furniture,4.9
ME,66.6,Wood Energy,3.1
ME,66.6,Forest Mgmt,0.7
NH,17.9,Solid Wood Products,48.3
NH,17.9,Pulp & Paper,16.0
NH,17.9,Furniture,11.6
NH,17.9,Harvesting & Transport,11.7
NH,17.9,Wood Energy,11.3
NH,17.9,Forest Mgmt,1.1
VT,15.4,Solid Wood Products,44.9
VT,15.4,Pulp & Paper,22.7
VT,15.4,Furniture,18.6
VT,15.4,Harvesting & Transport,10.1
VT,15.4,Wood Energy,2.6
VT,15.4,Forest Mgmt,1.1
