eval_period,eval_year,n_plots,pct_trans,pct_ls,pct_og,pct_ls_og,pct_all_lsog,trans_lo,trans_hi,ls_lo,ls_hi,og_lo,og_hi,ls_og_lo,ls_og_hi,all_lsog_lo,all_lsog_hi
1999-2003,2001,3182,2.8912633563796355,0.09428032683846638,0,0.09428032683846638,2.985543683218102,2.3255813953488373,3.519798868636078,0,0.21998742928975487,0,0,0,0.21998742928975487,2.4198617221873038,3.5826524198617227
2004-2008,2006,3161,3.163555836760519,0.12654223347042076,0,0.12654223347042076,3.2900980702309393,2.56248022777602,3.7962670041126225,0.03163555836760519,0.2530844669408415,0,0,0.03163555836760519,0.2530844669408415,2.689022461246441,3.9544447959506486
2009-2013,2011,3171,3.8473667612740456,0.22075055187637968,0,0.22075055187637968,4.068117313150426,3.216650898770104,4.541154210028382,0.06307158625039419,0.4099653106275623,0,0,0.06307158625039419,0.4099653106275623,3.405865657521287,4.762693156732888
2014-2018,2016,3150,4.222222222222222,0.3492063492063492,0,0.3492063492063492,4.571428571428571,3.5238095238095237,4.920634920634921,0.15873015873015872,0.5396825396825398,0,0,0.15873015873015872,0.5396825396825398,3.8730158730158735,5.26984126984127
2019-2023,2021,3125,4.4159999999999995,0.544,0,0.544,4.96,3.6799999999999997,5.152,0.28800000000000003,0.832,0,0,0.28800000000000003,0.832,4.224,5.728
